id,count,genre,text,answers,noskip
41,4814,religion,How important is religion/God in your life?,"['Extremely important', 'Somewhat important', 'Not very important', 'Not important at all']",1
60100,4751,religion,Is astrological sign at all important in a match?,"['Yes', 'No']",0
358077,4681,lifestyle,Could you date someone who was really messy?,"['Yes', 'No']",1
464492,4675,lifestyle,Do you smoke?,"['Yes', 'No', 'Rarely']",1
403,4657,lifestyle,Do you enjoy discussing politics?,"['Yes', 'No']",1
49,4572,lifestyle,Which word describes you better?,"['Carefree', 'Intense']",1
48,4491,lifestyle,Which would you rather be?,"['Normal', 'Weird']",1
9688,4377,lifestyle,Could you date someone who does drugs?,"['No', 'Yes, but only soft stuff like marijuana', 'Yes']",1
8865,4278,other,Are you currently employed?,"['Yes, I have a fulltime job', 'No', 'I have a part-time job', ""I'm a student""]",1
1440,4257,dating,Is jealousy healthy in a relationship?,"['Yes', 'No']",1
44639,4209,lifestyle,Do you like scary movies?,"['Yes', 'No']",0
146,4094,dating,Choose the better romantic activity:,"['Kissing in Paris', 'Kissing in a tent, in the woods']",1
36045,4015,dating,Are you ready to settle down and get married right now?,"['Absolutely', 'No way', 'Get married yes, settle down no', 'Get married no, settle down yes']",1
212813,3914,lifestyle,Which best describes your political beliefs?,"['Liberal / Left', 'Centrist', 'Conservative / Right', 'Other']",1
41953,3844,dating,About how long do you want your next relationship to last?,"['One night', 'A few months to a year', 'Several years', 'The rest of my life']",1
77,3805,lifestyle,How frequently do you drink alcohol?,"['Often', 'Sometimes', 'Rarely', 'Never']",1
464494,3577,lifestyle,Would you date someone who was in considerable debt?,"[""Yes, it's not a problem for me"", 'Yes, if I thought the debt were justified', 'No']",1
358084,3452,other,Do you enjoy intense intellectual conversations?,"['Yes', 'No']",1
179268,3404,lifestyle,Are you either vegetarian or vegan?,"['Yes', 'No']",0
35660,3272,other,How often are you open with your feelings?,"['Always', 'Usually', 'Rarely', 'Never']",0
553,3248,lifestyle,Do spelling mistakes annoy you?,"['Yes', 'No']",0
997,3225,lifestyle,Are you a cat person or a dog person?,"['Cats', 'Dogs', 'Both', 'Neither']",0
27477,3194,other,Do you often find yourself worrying about things that you have no control over?,"['Yes', 'No']",1
1766,3071,lifestyle,Is art important to you?,"['Yes', 'No']",0
87,3058,lifestyle,Is smoking disgusting?,"['Yes', 'No']",0
29032,3030,other,Which of the following types of intelligence do you value most?,"['Logical / Mathematical', 'Social / Interpersonal', 'Visual / Artistic']",1
76,2991,lifestyle,Are you a morning person?,"['Yes', 'No']",1
80041,2990,dating,Are you looking for a partner to have children with?,"['Yes', 'No']",1
358080,2975,dating,What is the most exciting thing about getting to know someone new?,"['Discovering your shared interests', 'Discovering their body']",0
35,2940,sex,"Regardless of future plans, what's more interesting to you right now?","['Sex', 'Love']",0
358014,2872,dating,Could you date someone who was really quiet?,"['Yes', 'No']",0
15744,2812,lifestyle,Are you a pet person?,"['Yes', 'No']",0
46,2801,other,"Would you prefer good things happened, or interesting things?","['Good', 'Interesting']",0
501,2772,lifestyle,Have you smoked a cigarette in the last 6 months?,"['Yes', 'No']",1
79,2769,lifestyle,What's your relationship with marijuana?,"['I smoke regularly.', 'I smoke occasionally.', 'I smoked in the past, but no longer.', 'Never.']",0
325,2762,lifestyle,"Would you consider having an open relationship (i.e., one where you can see other people)?","['Yes', 'No']",1
158,2751,lifestyle,Are you an aspiring actor/artist/writer or other creative type?,"['Yes', 'No']",0
20930,2751,other,Rate your self-confidence:,"['Very, very high', 'Higher than average', 'Average', 'Below average']",0
23543,2750,dating,"Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?","['Yes, no matter what', 'Yes, unless otherwise specified', ""No, it's not necessary"", ""No, I'd prefer not to communicate daily""]",0
1112,2724,lifestyle,Do you like the taste of beer?,"['Yes', 'No']",0
442,2724,lifestyle,"If you don't do anything at all for an entire day, how does that make you feel?","['Good', 'Bad']",1
80,2703,lifestyle,What's your deal with harder drugs (stuff beyond pot)?,"['I do drugs regularly.', 'I do drugs occasionally.', ""I've done drugs in the past, but no longer."", 'I never do drugs.']",0
1597,2690,sex,Would you consider sleeping with someone on the first date?,"['Yes', 'No']",1
48753,2678,dating,Do you like to cuddle?,"['Yes.', 'No.', 'Sometimes - It depends.']",0
416236,2665,other,How do you feel about documentaries?,"['Yay!', 'Okay', 'NO.']",0
24345,2648,dating,Is intelligence a turn on?,"['Yes!', 'Somewhat.', 'Intelligence does nothing for me either way.', 'Intelligence turns me off.']",1
149,2645,dating,Which makes for a better relationship?,"['Passion', 'Dedication']",0
29829,2639,ethics,How often do you keep your promises?,"['Always', 'Whenever possible', 'Usually', 'When convenient']",0
57,2617,other,Do you like to argue?,"['Yes', 'No']",0
1815,2610,dating,Could you date someone who already has children from a previous relationship?,"['Yes', 'No']",0
113,2609,lifestyle,Have you ever traveled around another country alone?,"['Yes', 'No']",1
12964,2601,sex,Would you need to sleep with someone before you considered marrying them?,"['Yes', 'No']",0
436,2573,lifestyle,Does music have a big influence on your life?,"['Yes', 'No']",0
462342,2565,other,Would you consider yourself a feminist?,"['Yes', 'No', 'To some extent']",1
65,2510,ethics,Do you have a problem with racist jokes?,"['Yes', 'No']",0
445141,2495,other,Which superpower would you rather have?,"['Flight', 'Invisibility']",0
220,2491,lifestyle,Do you like to watch sports on television?,"['Yes', 'No']",0
15280,2461,dating,Could you date someone with no long-term goals?,"['Yes', 'No']",0
50755,2459,other,Do you believe that everything happens for a reason?,"['Yes', 'No']",1
156913,2451,religion,Are you Christian?,"['Yes', 'No']",0
28903,2448,other,Which of these is likely to make you more nervous?,"['A promising first date', 'An important interview']",0
16713,2445,lifestyle,Are you careful with your money?,"['Yes', 'No']",0
48328,2417,lifestyle,Do you believe that money can buy happiness?,"['Yes', 'No']",0
17,2415,sex,Would you date someone just for the sex?,"['Yes', 'No']",0
48372,2408,religion,Do you believe in the power of prayer?,"['Yes', 'No']",0
318,2406,lifestyle,How important is money/wealth for you in a match?,"['Very important', 'Somewhat important', 'Not important at all']",1
12796,2391,lifestyle,Do you have a current passport?,"['Yes', 'No']",0
188,2377,lifestyle,Do you use foul language?,"['Yes', 'No']",0
18834,2376,lifestyle,"If you had to name your greatest motivation in life thus far, what would it be?","['Love', 'Wealth', 'Expression', 'Knowledge']",0
94,2364,lifestyle,Are you almost always on time?,"['Yes', 'No']",0
512,2350,lifestyle,Do you like to dance?,"['Yes', 'No']",0
60577,2348,lifestyle,Do you ever feel socially awkward?,"['Yes', 'No']",0
20725,2338,other,Do you space out or daydream a lot?,"['All the time', 'Rarely / never', 'Sometimes']",0
210,2328,religion,Do you believe in God?,"['Yes', 'No']",0
23834,2326,lifestyle,Do you often make jokes that offend more uptight people?,"['Yes', 'No']",0
6537,2319,lifestyle,Could you live without the Internet?,"['Yes', 'No']",0
464470,2318,dating,What is your preferred cuddling position?,"['Big spoon', 'Small spoon', 'All spoons']",1
62455,2311,lifestyle,Are you a workaholic?,"['Yes', 'No']",0
165644,2307,dating,What's worse on a first date?,"['No physical attraction', 'Nothing to talk about']",0
1119,2303,lifestyle,Does your partner have to be an active reader?,"['Yes', 'No']",0
3513226175,2297,lifestyle,Are you concerned about climate change?,"['Yes', 'No']",1
12970,2295,lifestyle,How often do you brush your teeth?,"['Twice or more a day', 'Once a day', 'Only on days I feel like it', 'Rarely / never']",0
426,2288,lifestyle,Do you enjoy watching movies with subtitles?,"['Yes', 'No']",0
434,2282,lifestyle,Do you like loud concerts?,"['Yes', 'No']",0
43261,2271,lifestyle,How much influence or control do your parents have over your life?,"['I am my own person.', 'I consider their opinion but go my own way.', 'I almost always do what my parents think is best.', 'I always do what my parents say.']",0
6693,2255,dating,Do you find intelligence sexier than looks?,"['Yes', 'No']",1
66506,2246,dating,How important is a potential match's sense of humor to you?,"['Very important.', 'Somewhat important.', 'Not important.']",1
